MERCHANT_SERVICE_ID,MERCHANT_ID,SERVICE_ID,SERVICE_PROVIDER_ID,MERCHANT_SERVICE_CREATION_DATE,IS_MERCHANT_SERVICE_ACTIVE,SUBCRIPTION_AMOUNT,OTC,AMC,SUBCRIPTION_CYCLE,REMARK,SERVICE_TYPE
1,1,366,31,"2022-12-09 07:08:30",Y,1000,10000,0,Yealy,Testing,Charge
2,1,318,27,"2022-12-09 08:47:57",Y,1,100,100,Yearly,"Production Testing",Charge
3,1,355,31,"2022-12-09 07:24:25",Y,1000,10000,0,Yealy,Testing,Charge
4,1,353,29,"2022-12-09 07:31:08",N,1,100,100,Yearly,"Production Testing",Commission
5,1,320,27,"2022-12-09 08:35:35",Y,1,100,100,Yearly,"Production Testing",Charge
6,1,326,29,"2023-04-27 18:36:01",Y,1000,10,10000,Yearly,Test,Commission
7,1,327,29,"2023-04-27 18:37:47",Y,1000,10,1000,Yearly,Test,Commission
8,1,350,31,"2022-12-09 11:05:08",Y,1000,1000,1000,"Half yearly",Test,Charge
9,1,351,31,"2022-12-09 11:10:43",Y,1000,1000,1000,Yearly,Test,Charge
10,1,352,31,"2022-12-09 11:13:06",Y,1000,1000,1000,Yearly,Test,Charge
11,277,320,27,"2022-12-09 11:15:52",Y,1,1,1,Yearly,QR,Charge
12,1,365,31,"2022-12-09 11:17:57",Y,1000,1000,1000,"Half yearly",Test,Charge
13,1,364,31,"2022-12-09 11:20:29",Y,1000,1000,1000,"Half yearly",Test,Charge
14,24,320,27,"2022-12-09 11:30:16",Y,1,1,1,Monthly,QR,Charge
15,26,350,31,"2022-12-09 11:31:18",Y,1,1,1,Quarterly,GST,Charge
16,276,320,27,"2022-12-09 11:38:05",Y,1,1,1,Yearly,QR,Charge
17,275,320,27,"2022-12-09 11:38:14",Y,1,1,1,Yearly,QR,Charge
18,263,318,27,"2022-12-09 11:39:36",Y,1,1,1,Yearly,Payout,Charge
19,274,320,27,"2022-12-09 11:42:13",Y,1,1,1,Yearly,QR,Charge
20,273,320,27,"2022-12-09 11:43:31",Y,1,1,1,Yearly,QR,Charge
21,272,320,27,"2022-12-09 11:44:52",Y,1,1,1,Yearly,QR,Charge
22,271,320,27,"2022-12-09 11:45:50",Y,1,1,1,Yearly,QR,Charge
23,270,320,27,"2022-12-09 11:46:32",Y,1,1,1,Yearly,QR,Charge
24,269,320,27,"2022-12-09 11:47:26",Y,1,1,1,Yearly,QR,Charge
25,268,320,27,"2022-12-09 11:48:59",Y,1,1,1,Yearly,QR,Charge
26,1,319,27,"2022-12-09 11:52:36",Y,1,100,100,Yearly,"Production Testing",Charge
27,256,318,27,"2022-12-09 11:53:50",Y,1,1,1,Yearly,Payout,Charge
28,267,320,27,"2022-12-09 11:54:46",Y,1,1,1,Yearly,QR,Charge
29,253,318,27,"2022-12-09 11:56:23",Y,1,1,1,Yearly,Payout,Charge
30,266,320,27,"2022-12-09 11:57:55",Y,1,1,1,Yearly,QR,Charge
31,245,318,27,"2022-12-09 11:58:47",Y,1,1,1,Yearly,Payout,Charge
32,265,320,27,"2022-12-09 11:59:00",Y,1,1,1,Yearly,QR,Charge
33,244,320,27,"2022-12-09 11:59:23",Y,1,1,1,Yearly,QR,Charge
34,264,320,27,"2022-12-09 12:00:33",Y,1,1,1,Yearly,QR,Charge
35,262,320,27,"2022-12-09 12:02:08",Y,1,1,1,Yearly,QR,Charge
36,261,320,27,"2022-12-09 12:03:41",Y,1,1,1,Yearly,QR,Charge
37,260,320,27,"2022-12-09 12:04:36",Y,1,1,1,Yearly,QR,Charge
38,259,320,27,"2022-12-09 12:06:04",Y,1,1,1,Yearly,QR,Charge
39,255,320,27,"2023-05-02 17:46:24",Y,1,29999,1,Yearly,QR,Charge
40,254,320,27,"2023-05-02 17:45:00",Y,1,30000,1,Yearly,QR,Charge
41,258,320,27,"2022-12-09 12:07:45",Y,1,1,1,Yearly,QR,Charge
42,235,320,27,"2022-12-09 12:08:04",Y,1,1,1,Yearly,QR,Charge
43,257,320,27,"2022-12-09 12:08:35",Y,1,1,1,Yearly,QR,Charge
44,232,318,27,"2022-12-09 12:09:22",Y,1,1,1,Yearly,Payout,Charge
45,231,320,27,"2022-12-09 12:09:59",Y,1,1,1,Yearly,QR,Charge
46,252,320,27,"2022-12-09 12:10:12",Y,1,1,1,Yearly,QR,Charge
47,229,320,27,"2022-12-09 12:10:22",Y,1,1,1,Yearly,QR,Charge
48,251,320,27,"2022-12-09 12:12:10",Y,1,1,1,Yearly,QR,Charge
49,250,320,27,"2022-12-09 12:13:08",Y,1,1,1,Yearly,QR,Charge
50,249,320,27,"2022-12-09 12:14:49",Y,1,1,1,Yearly,QR,Charge
51,248,320,27,"2022-12-09 12:17:48",Y,1,1,1,Yearly,QR,Charge
52,148,320,27,"2022-12-09 12:19:20",Y,1,1,1,Yearly,QR,Charge
53,247,320,27,"2022-12-09 12:19:32",Y,1,1,1,Yearly,QR,Charge
54,129,320,27,"2022-12-09 12:19:52",Y,1,1,1,Yearly,QR,Charge
55,145,320,27,"2022-12-09 12:20:10",Y,1,1,1,Yearly,QR,Charge
56,153,320,27,"2022-12-09 12:20:29",Y,1,1,1,Yearly,QR,Charge
57,156,320,27,"2022-12-09 12:20:48",Y,1,1,1,Yearly,QR,Charge
58,157,320,27,"2022-12-09 12:21:48",Y,1,1,1,Yearly,QR,Charge
59,243,320,27,"2022-12-09 12:23:28",Y,1,1,1,Yearly,QR,Charge
60,242,320,27,"2022-12-09 12:24:32",Y,1,1,1,Yearly,QR,Charge
61,241,320,27,"2022-12-09 12:25:17",Y,1,1,1,Yearly,QR,Charge
62,228,320,27,"2022-12-09 12:25:25",Y,1,1,1,Yearly,QR,Charge
63,227,320,27,"2022-12-09 12:25:45",Y,1,1,1,Yearly,QR,Charge
64,226,320,27,"2022-12-09 12:26:06",Y,1,1,1,Yearly,QR,Charge
65,225,320,27,"2022-12-09 12:26:29",Y,1,1,1,Yearly,QR,Charge
66,224,320,27,"2022-12-09 12:26:55",Y,1,1,1,Yearly,QR,Charge
67,240,320,27,"2022-12-09 12:27:10",Y,1,1,1,Yearly,QR,Charge
68,239,320,27,"2022-12-09 12:27:39",Y,1,1,1,Yearly,QR,Charge
69,238,320,27,"2022-12-09 12:30:56",Y,1,1,1,Yearly,QR,Charge
70,237,320,27,"2022-12-09 12:31:57",Y,1,1,1,Yearly,QR,Charge
71,1,323,27,"2022-12-09 12:32:45",Y,1,1000,1000,Yearly,"E-collect ",Charge
72,236,320,27,"2022-12-09 12:33:04",Y,1,1,1,Yearly,QR,Charge
73,234,320,27,"2022-12-09 12:34:06",Y,1,1,1,Yearly,QR,Charge
74,1,334,29,"2022-12-09 12:34:16",Y,1000,0,1000,"Half yearly",test,Charge
75,1,329,29,"2022-12-13 10:23:40",Y,1000,1000,1000,"Half yearly",test,Commission
76,233,320,27,"2022-12-09 12:35:43",Y,1,1,1,Yearly,QR,Charge
77,230,320,27,"2022-12-09 12:37:09",Y,1,1,1,Yearly,QR,Charge
78,122,331,29,"2023-02-01 11:50:20",N,1000,1000,1000,Yearly,test,Commission
79,122,339,29,"2023-02-01 11:51:55",N,1000,1000,1000,Yearly,test,Commission
80,122,337,29,"2023-02-01 11:52:27",N,1000,1000,1000,Yearly,test,Commission
81,122,327,29,"2023-02-01 11:57:33",N,1000,1000,1000,Yearly,test,Commission
82,122,329,29,"2023-02-01 11:57:52",N,1000,1000,1000,Yearly,test,Commission
83,122,332,29,"2023-02-01 11:58:08",N,1000,1000,1000,Yearly,test,Commission
84,209,320,27,"2022-12-09 13:31:10",Y,1,1,1,Yearly,QR,Charge
85,208,320,27,"2022-12-09 13:31:51",Y,1,1,1,Yearly,QR,Charge
86,207,320,27,"2022-12-09 13:32:40",Y,1,1,1,Yearly,QR,Charge
87,206,320,27,"2022-12-09 13:33:36",Y,1,1,1,Yearly,QR,Charge
88,205,320,27,"2022-12-09 13:34:05",Y,1,1,1,Yearly,QR,Charge
89,204,320,27,"2022-12-09 13:34:54",Y,1,1,1,Yearly,QR,Charge
90,203,320,27,"2022-12-09 13:36:11",Y,1,1,1,Yearly,QR,Charge
91,202,320,27,"2022-12-09 13:36:53",Y,1,1,1,Yearly,QR,Charge
92,201,320,27,"2022-12-09 13:37:40",Y,1,1,1,Yearly,QR,Charge
93,200,320,27,"2022-12-09 13:38:29",Y,1,1,1,Yearly,QR,Charge
94,199,320,27,"2022-12-09 13:39:00",Y,1,1,1,Yearly,QR,Charge
95,198,320,27,"2022-12-09 13:39:40",Y,1,1,1,Yearly,QR,Charge
96,196,320,27,"2022-12-09 13:40:24",Y,1,1,1,Yearly,QR,Charge
97,122,348,29,"2023-02-01 11:58:26",N,1000,1000,1000,Yearly,Test,Commission
98,194,320,27,"2022-12-09 13:42:49",Y,1,1,1,Yearly,QR,Charge
99,193,320,27,"2022-12-09 13:43:41",Y,1,1,1,Yearly,QR,Charge
100,122,347,29,"2023-02-01 11:58:41",N,1000,1000,1000,Yearly,Test,Commission
101,192,320,27,"2022-12-09 13:44:46",Y,1,1,1,Yearly,QR,Charge
102,191,320,27,"2022-12-09 13:45:17",Y,1,1,1,Yearly,QR,Charge
103,122,346,29,"2023-02-01 11:59:04",N,1000,1000,1000,Yearly,Test,Commission
104,184,320,27,"2022-12-09 13:46:08",Y,1,1,1,Yearly,QR,Charge
105,180,320,27,"2022-12-09 13:47:08",Y,1,1,1,Yearly,QR,Charge
106,122,333,29,"2023-02-01 11:59:27",N,1000,1000,1000,Yearly,test,Commission
107,179,320,27,"2022-12-09 13:48:13",Y,1,1,1,Yearly,QR,Charge
108,178,320,27,"2022-12-09 13:49:21",Y,1,1,1,Yearly,QR,Charge
109,177,320,27,"2022-12-09 13:50:49",Y,1,1,1,Yearly,QR,Charge
110,122,345,29,"2023-02-01 11:59:45",N,1000,1000,1000,Yearly,Test,Commission
111,175,320,27,"2022-12-09 13:52:31",Y,1,1,1,Yearly,QR,Charge
112,122,338,29,"2023-02-01 11:59:59",N,1000,1000,1000,Yearly,Test,Commission
113,122,344,29,"2023-02-01 12:00:16",N,1000,1000,1000,Yearly,Test,Commission
114,122,336,29,"2023-02-01 12:01:03",N,1000,1000,1000,Yearly,Test,Commission
115,122,343,29,"2023-02-01 12:01:28",N,1000,1000,1000,Yearly,Test,Commission
116,122,340,29,"2023-02-01 12:02:10",N,1000,1000,1000,Yearly,test,Commission
117,122,326,29,"2023-02-01 12:02:32",N,1000,1000,1000,Yearly,test,Commission
118,122,335,29,"2023-02-01 12:02:53",N,1000,1000,1000,Yearly,Test,Commission
119,174,320,27,"2022-12-09 13:59:35",Y,1,1,1,Yearly,QR,Charge
120,122,342,29,"2023-02-01 12:03:17",N,1000,1000,1000,Yearly,Test,Commission
121,173,320,27,"2022-12-09 14:00:23",Y,1,1,1,Yearly,QR,Charge
122,172,320,27,"2022-12-09 14:01:02",Y,1,1,1,Yearly,QR,Charge
123,171,320,27,"2022-12-09 14:01:38",Y,1,1,1,Yearly,QR,Charge
124,122,328,29,"2023-02-01 12:03:40",N,1,1000,1000,Yearly,Test,Commission
125,122,334,29,"2023-02-01 12:04:01",N,1000,1000,1000,Yearly,test,Commission
126,170,320,27,"2022-12-09 14:02:36",Y,1,1,1,Yearly,QR,Charge
127,169,320,27,"2022-12-09 14:03:15",Y,1,1,1,Yearly,QR,Charge
128,122,341,29,"2023-02-01 12:04:15",N,1000,1000,1000,Yearly,test,Commission
129,108,318,27,"2022-12-10 05:20:23",Y,1,1,1,Yearly,Payout,Charge
130,108,323,27,"2022-12-10 05:20:41",Y,1,1,1,Yearly,Payout,Charge
131,111,318,27,"2022-12-10 05:21:16",Y,1,1,1,Yearly,Payout,Charge
132,111,323,27,"2022-12-10 05:21:32",Y,1,1,1,Yearly,Payout,Charge
133,119,318,27,"2022-12-10 05:22:14",Y,1,1,1,Yearly,Payout,Charge
134,119,323,27,"2022-12-10 05:22:26",Y,1,1,1,Yearly,Payout,Charge
135,154,318,27,"2022-12-10 05:22:57",Y,1,1,1,Yearly,Payout,Charge
136,154,323,27,"2022-12-10 05:23:10",Y,1,1,1,Yearly,Payout,Charge
137,155,318,27,"2022-12-10 05:23:40",Y,1,1,1,Yearly,Payout,Charge
138,155,323,27,"2022-12-10 05:23:56",Y,1,1,1,Yearly,Payout,Charge
139,182,318,27,"2022-12-10 05:25:00",Y,1,1,1,Yearly,Payout,Charge
140,182,323,27,"2023-01-13 09:59:41",Y,1,1,1,Yearly,Payout,Charge
141,183,318,27,"2022-12-10 05:25:57",Y,1,1,1,Yearly,Payout,Charge
142,183,323,27,"2022-12-10 05:26:10",Y,1,1,1,Yearly,Payout,Charge
143,189,318,27,"2022-12-10 05:28:17",Y,1,1,1,Yearly,Payout,Charge
144,189,323,27,"2022-12-10 05:28:28",Y,1,1,1,Yearly,Payout,Charge
145,232,323,27,"2022-12-10 05:29:28",Y,1,1,1,Yearly,Payout,Charge
146,245,323,27,"2022-12-10 05:29:53",Y,1,1,1,Yearly,Payout,Charge
147,253,323,27,"2022-12-10 05:30:11",Y,1,1,1,Yearly,Payout,Charge
148,256,323,27,"2022-12-10 05:30:24",Y,1,1,1,Yearly,Payout,Charge
149,263,323,27,"2022-12-10 05:30:49",Y,1,1,1,Yearly,Payout,Charge
150,99,320,27,"2022-12-10 07:49:21",Y,1,1,1,Yearly,QR,Charge
151,186,331,29,"2024-01-31 13:13:30",Y,0,1000,1000,Yearly,Test,Commission
152,186,367,29,"2024-01-31 13:13:43",Y,0,1000,1000,Yearly,Test,Commission
153,186,339,29,"2024-01-31 13:13:53",Y,0,1000,1000,Yearly,Test,Commission
154,186,337,29,"2024-01-31 13:14:04",Y,0,1000,1000,Yearly,Test,Commission
155,186,327,29,"2024-01-31 13:14:16",Y,0,1000,1000,Yearly,Test,Commission
156,186,329,29,"2024-01-31 13:14:27",Y,0,1000,1000,Yearly,Test,Commission
157,186,332,29,"2024-01-31 13:14:38",Y,0,1000,1000,Yearly,Test,Commission
158,186,333,29,"2024-01-31 13:14:57",Y,0,1000,1000,Yearly,Test,Commission
159,186,326,29,"2024-01-31 13:15:11",Y,0,1000,1000,Yearly,Test,Commission
160,186,368,29,"2024-01-31 13:15:25",Y,0,1000,1000,Yearly,Test,Commission
161,186,340,29,"2024-01-31 13:15:37",Y,0,1000,1000,Yearly,Test,Commission
162,186,369,29,"2024-01-31 13:15:56",Y,0,1000,1000,Yearly,Test,Commission
163,186,334,29,"2023-05-06 15:04:52",Y,1,1000,1000,Yearly,Test,Commission
164,186,341,29,"2024-01-31 13:16:10",Y,0,1000,1000,Yearly,Test,Commission
165,186,328,29,"2024-01-31 13:16:28",Y,0,1000,1000,Yearly,Test,Commission
166,186,335,29,"2024-01-31 13:16:40",Y,0,1000,1000,Yearly,Test,Commission
167,186,342,29,"2024-01-31 13:16:54",Y,0,1000,1000,Yearly,Test,Commission
168,186,370,29,"2024-01-31 13:17:07",Y,0,1000,1000,Yearly,Test,Commission
169,186,343,29,"2024-01-31 13:17:23",Y,0,1000,1000,Yearly,Test,Commission
170,186,336,29,"2024-01-31 13:17:38",Y,0,1000,1000,Yearly,Test,Commission
171,122,323,27,"2023-02-01 12:04:31",N,1,1,1,Yearly,Payout,Commission
172,186,344,29,"2024-01-31 13:23:48",Y,0,1000,1000,Yearly,Test,Commission
173,186,338,29,"2024-01-31 13:24:05",Y,0,1000,1000,Yearly,Test,Commission
174,186,345,29,"2024-01-31 13:24:22",Y,0,1000,1000,Yearly,Test,Commission
175,186,346,29,"2024-01-31 13:25:01",Y,0,1000,1000,Yearly,Test,Commission
176,186,347,29,"2024-01-31 13:25:17",Y,0,1000,1000,Yearly,Test,Commission
177,186,348,29,"2024-01-31 13:25:31",Y,0,1000,1000,Yearly,Test,Commission
178,166,320,27,"2022-12-11 06:48:55",Y,1,1,1,Yearly,QR,Charge
179,147,320,27,"2022-12-11 06:51:11",Y,1,1,1,Yearly,QR,Charge
180,143,320,27,"2022-12-11 06:52:20",Y,1,1,1,Yearly,QR,Charge
181,144,320,27,"2022-12-11 06:55:35",Y,1,1,1,Yearly,QR,Charge
182,142,320,27,"2022-12-11 06:58:16",Y,1,1,1,Yearly,QR,Charge
